Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Al Wafa Restaurant,Al Rashidiya 1,Ajman,1175,06-7408413,N/A,https://www.yellowpages-uae.com/al-wafa-restaurant-116126.html,
Al Waha International,Qasar Al Sarab Desert Resort,Abu Dhabi,N/A,02-8862088,N/A,https://www.yellowpages-uae.com/al-waha-international-175667.html,
Al Wakra Restaurant,"Opp Sana Fashions, Al Qassimia Rd",Sharjah,63609,06-5396960,N/A,https://www.yellowpages-uae.com/al-wakra-restaurant-118481.html,
Al Waqqas Restaurant,"Opp Taxi Stand, Bur Dubai",Dubai,52681,04-3933612,N/A,https://www.yellowpages-uae.com/al-waqqas-restaurant-172958.html,
Al Yasmeen Al Shami Restaurant,"Near Hilal Bank, Abdul Aziz Rd",Sharjah,N/A,06-5482240,N/A,https://www.yellowpages-uae.com/al-yasmeen-al-shami-restaurant-147386.html,
Al Yemen Mandi Restaurant,Abu Hail,Dubai,N/A,04-2662207,N/A,https://www.yellowpages-uae.com/al-yemen-mandi-restaurant-175347.html,
Al Zad Restaurant,"Damascus Street, Al Qusais",Dubai,N/A,04-2635470,N/A,https://www.yellowpages-uae.com/al-zad-restaurant-175492.html,
Al Zahra Walandaleeb Rest,Deira,Dubai,29688,04-2221422,N/A,https://www.yellowpages-uae.com/al-zahra-walandaleeb-rest-135708.html,
Al Zanjabeel Fast Food,King Faisal Street,Sharjah,N/A,06-5448817,N/A,https://www.yellowpages-uae.com/al-zanjabeel-fast-food-148181.html,
Allures Coffees,"Oaks Liwa Heights Hotel, JLT",Dubai,N/A,04-4363434,N/A,https://www.yellowpages-uae.com/allures-coffees-67643.html,
Almanhal Restaurant & Cafeteria LLC,"Al Zahra St, Nasseriya",Sharjah,N/A,06-5655253,N/A,https://www.yellowpages-uae.com/almanhal-restaurant-cafeteria-llc-148013.html,
Almaz By Momo,Mall of The Emirates,Dubai,N/A,04-4098877,N/A,https://www.yellowpages-uae.com/almaz-by-momo-175791.html,
Alpha Restaurant,Al Manakh,Sharjah,73116,055-7700860,N/A,https://www.yellowpages-uae.com/alpha-restaurant-175369.html,
Alrabee Alshami Bakeries,"King Faisal Rd, Al Qasimiyah",Sharjah,N/A,06-5756700,N/A,https://www.yellowpages-uae.com/alrabee-alshami-bakeries-175274.html,
Alto Mar,Jumeirah Fishing Harbour,Dubai,N/A,04-3435225,N/A,https://www.yellowpages-uae.com/alto-mar-175792.html,
Amala - Jumeirah Zabeel Saray,"Right Wing, Jumeirah Zabeel Saray, Palm Jumeirah",Dubai,N/A,04-4530000,N/A,https://www.yellowpages-uae.com/amala-jumeirah-zabeel-saray-175793.html,
Amani Pizza,"Beside KM Trading, Salam Street",Abu Dhabi,N/A,02-4488612,N/A,https://www.yellowpages-uae.com/amani-pizza-175510.html,
Amassi International Cuisine and Lounge,Khalidiya,Abu Dhabi,37747,02-6810099,N/A,https://www.yellowpages-uae.com/amassi-international-cuisine-and-lounge-133440.html,
Amrutha Restaurant,"Opp Adcb, Mana Rd, Rolla",Sharjah,21677,06-5325355,N/A,https://www.yellowpages-uae.com/amrutha-restaurant-115932.html,
Amwaj Seafood,Baniyas Island,Abu Dhabi,N/A,02-8015400,N/A,https://www.yellowpages-uae.com/amwaj-seafood-175668.html,
Anar,Souk Madinat,Dubai,N/A,04-3686505,N/A,https://www.yellowpages-uae.com/anar-175794.html,
Angar,"Yas Viceroy, Yas Island",Abu Dhabi,N/A,02-6560760,N/A,https://www.yellowpages-uae.com/angar-175669.html,
Anjappar Authentic Chettinad Restaurant,"Behind Commercial Bank Of Dubai, Khalidiya",Abu Dhabi,37658,02-6667763,N/A,https://www.yellowpages-uae.com/anjappar-authentic-chettinad-restaurant-140480.html,
Anjappar Chettinad Restaurant LLC,"Al Murjan Tower, Near Carrefour, Al Nahda",Dubai,N/A,04-2578773,N/A,https://www.yellowpages-uae.com/anjappar-chettinad-restaurant-llc-105434.html,
Annam Restaurant,Salam St,Abu Dhabi,126587,02-6436088,N/A,https://www.yellowpages-uae.com/annam-restaurant-150959.html,
Ansari Group of Company,"King Abdul Aziz Street, Al Qasimia",Sharjah,N/A,06-8859635,N/A,https://www.yellowpages-uae.com/ansari-group-of-company-181475.html,
Antar Cafeteria,Jumeirah 4,Dubai,N/A,04-3955722,N/A,https://www.yellowpages-uae.com/antar-cafeteria-145119.html,
Anwar Restaurant,Hili,Al Ain,1676,03-7845811,N/A,https://www.yellowpages-uae.com/anwar-restaurant-115078.html,
Apple Cafe and Restaurant,"3rd Flr, Twin Towers, Baniyas Rd, Deira",Dubai,42714,04-2274446,N/A,https://www.yellowpages-uae.com/apple-cafe-and-restaurant-130753.html,
Arab Island Restaurant,Hor Al Anz,Dubai,N/A,04-2621212,N/A,https://www.yellowpages-uae.com/arab-island-restaurant-103507.html,
Arab Tower Restaurant,Umm Al Nar,Abu Dhabi,8879,02-5583738,N/A,https://www.yellowpages-uae.com/arab-tower-restaurant-126538.html,
Arabian Fome Restaurant & Cafeteria,Al Quoz,Dubai,N/A,04-3388980,N/A,https://www.yellowpages-uae.com/arabian-fome-restaurant-cafeteria-145501.html,
Arabian House Restaurant,N/A,Abu Dhabi,N/A,02-4450949,N/A,https://www.yellowpages-uae.com/arabian-house-restaurant-145636.html,
Arabian Seashell Cafeteria,"Beach Road, Jumeirah 3",Dubai,N/A,04-3942886,N/A,https://www.yellowpages-uae.com/arabian-seashell-cafeteria-146796.html,
Arman Cafe,"G Floor, Al Maktoum St, Dubai Corniche Hotel & Residence, Al Maktoum St, Deira",Dubai,181858,04-2292983,N/A,https://www.yellowpages-uae.com/arman-cafe-144052.html,
Aroma Garden Caffe,"Al Amri Bldg, Oud Metha Rd, Karama",Dubai,30651,04-3368999,N/A,https://www.yellowpages-uae.com/aroma-garden-caffe-129758.html,
Aroma Spicy Restaurant,"Behind Eldorado Cinemas, Electra Street",Abu Dhabi,N/A,02-6770064,N/A,https://www.yellowpages-uae.com/aroma-spicy-restaurant-175533.html,
Arous Al Wadi Restaurant,Al Nahda,Sharjah,N/A,06-5363600,N/A,https://www.yellowpages-uae.com/arous-al-wadi-restaurant-148067.html,
Arrows & Sparrows Cafe,"Emaar Business Park, The Greens",Dubai,N/A,04-5588141,N/A,https://www.yellowpages-uae.com/arrows-sparrows-cafe-175743.html,
Art House Cafe,"Eitihad Modern Art Galley, Al Bateen",Abu Dhabi,N/A,02-4182466,N/A,https://www.yellowpages-uae.com/art-house-cafe-175610.html,
Arya Bhavan Restaurant,Al Falah St,Abu Dhabi,N/A,02-4450909,N/A,https://www.yellowpages-uae.com/arya-bhavan-restaurant-145334.html,
Asfar Restaurant & Coffee Shop,N/A,Abu Dhabi,N/A,02-6422217,N/A,https://www.yellowpages-uae.com/asfar-restaurant-coffee-shop-145300.html,
Ashbilia Restaurant,Karama,Dubai,50080,04-3969726,N/A,https://www.yellowpages-uae.com/ashbilia-restaurant-112899.html,
Ashrafi Restaurant,"Near Cargo Village, Airport Rd",Dubai,60825,04-2821718,N/A,https://www.yellowpages-uae.com/ashrafi-restaurant-121551.html,
Asia De Cuba,Corniche Road,Abu Dhabi,N/A,02-6993333,N/A,https://www.yellowpages-uae.com/asia-de-cuba-175670.html,
Asian Palace Sharjah Restaurant,"Mubarak Centre, Al Aroba St",Sharjah,N/A,06-5233505,N/A,https://www.yellowpages-uae.com/asian-palace-sharjah-restaurant-110163.html,
Assia In Work,"The Res Tower 1, Burj Dubai",Dubai,184512,04-4205225,N/A,https://www.yellowpages-uae.com/assia-in-work-121797.html,
Atayab Public Kitchen and Restaurant,Dibba Wasit,Dibba,11757,09-2443644,N/A,https://www.yellowpages-uae.com/atayab-public-kitchen-and-restaurant-59241.html,
Atayeb,"Yas Viceroy, Yas Island",Abu Dhabi,N/A,02-6560000,N/A,https://www.yellowpages-uae.com/atayeb-175671.html,
Atelier M,Dubai Marina,Dubai,N/A,04-4507766,N/A,https://www.yellowpages-uae.com/atelier-m-175795.html,
Athena Greek Cuisine,Abu Dhabi Mall,Abu Dhabi,53128,02-6450060,N/A,https://www.yellowpages-uae.com/athena-greek-cuisine-145301.html,
Automatic Restaurant & Grill,"Near ADCB, Corniche Rd",Sharjah,28977,06-5741222,N/A,https://www.yellowpages-uae.com/automatic-restaurant-and-grill-105246.html,
Avani Restaurant LLC,"Al Dana Centre, Arjaan Food Court, Karama",Dubai,44056,04-2989142,N/A,https://www.yellowpages-uae.com/avani-restaurant-llc-142518.html,
Avasa Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-6742221,N/A,https://www.yellowpages-uae.com/avasa-restaurant-175672.html,
Avon Restaurant,"Gold Souq, Deira",Dubai,N/A,04-2251827,N/A,https://www.yellowpages-uae.com/avon-restaurant-143133.html,
Awtar Restaurant,TCA,Abu Dhabi,4832,02-6441551,N/A,https://www.yellowpages-uae.com/awtar-restaurant-133511.html,
Aysha Restaurant,"Street 33C, Al Mussalla Road, Bur Dubai",Dubai,N/A,04-3525315,N/A,https://www.yellowpages-uae.com/aysha-restaurant-172959.html,
Bab Al Yemen Mandi Restaurant,N/A,Dubai,N/A,04-2558787,N/A,https://www.yellowpages-uae.com/bab-al-yemen-mandi-restaurant-175326.html,
Bab Deira Restaurant,Abu Shagara Park,Sharjah,N/A,06-5344765,N/A,https://www.yellowpages-uae.com/bab-deira-restaurant-175371.html,
Bagatelle,"Farimont Hotel, Shk Zayed Road",Dubai,N/A,04-3545035,N/A,https://www.yellowpages-uae.com/bagatelle-175796.html,
Baguette,Khalifa St,Abu Dhabi,27363,02-6276442,N/A,https://www.yellowpages-uae.com/baguette-142513.html,
Baguette Cafe and Restaurant,Corniche,Abu Dhabi,2698,02-6273100,N/A,https://www.yellowpages-uae.com/baguette-cafe-and-restaurant-136184.html,
Bait Al Kanafa Restaurant,Deira,Dubai,N/A,04-2689900,N/A,https://www.yellowpages-uae.com/bait-al-kanafa-restaurant-172960.html,
Bait Al Khetyar Cafeteria,Najdah St,Abu Dhabi,N/A,02-6333200,N/A,https://www.yellowpages-uae.com/bait-al-khetyar-cafeteria-147961.html,
Bait Al Mandi Restaurant,Muraqabat,Dubai,N/A,04-2629139,N/A,https://www.yellowpages-uae.com/bait-al-mandi-restaurant-107990.html,
Bait Al Wakeel,"Near Bank Of Baroda, Bur Dubai",Dubai,3919,04-3534870,N/A,https://www.yellowpages-uae.com/antalia-bait-al-wakeel-96359.html,
Bait Karachi and Delhi Biryani Restaurant,"Next to Mega Mall, Abu Shagara",Sharjah,N/A,06-5734651,N/A,https://www.yellowpages-uae.com/bait-karachi-and-delhi-biryani-restaurant-142767.html,
Baker Street,"G 08, Dubai Gate, JLT",Dubai,488183,04-3629392,N/A,https://www.yellowpages-uae.com/baker-street-147695.html,
Bakhit Ahmed Bakhit Restaurant,N/A,Dubai,N/A,04-2711357,N/A,https://www.yellowpages-uae.com/bakhit-ahmed-bakhit-restaurant-142371.html,
Balad Al Khayvat Restaurant,Near National Paints. Muwailah Rd,Sharjah,N/A,06-5427605,N/A,https://www.yellowpages-uae.com/balad-al-khayvat-restaurant-147329.html,
Baladna,N/A,Abu Dhabi,N/A,02-6446648,N/A,https://www.yellowpages-uae.com/baladna-146013.html,
Bandar Bride Restaurant,"Murshid Bazar, Deira",Dubai,112675,04-2254443,N/A,https://www.yellowpages-uae.com/bandar-bride-restaurant-132971.html,
Bandung Restaurant,Baharia St,Abu Dhabi,73843,02-6452008,N/A,https://www.yellowpages-uae.com/bandung-restaurant-145479.html,
Bangkok Town Thai Restaurant,"Bhnd Al Massa Cinema, Buhairah Corniche",Sharjah,38616,06-5568282,N/A,https://www.yellowpages-uae.com/sharjah-bangkok-town-thai-restaurant-122677.html,
Banglore Empire Restaurant LLC,Al Qusais,Dubai,N/A,04-2611433,N/A,https://www.yellowpages-uae.com/banglore-empire-restaurant-llc-68515.html,
Barasti,"Le Meridian, Mina Seyahi",Dubai,N/A,04-3993333,N/A,https://www.yellowpages-uae.com/barasti-175797.html,
Barbar Neirut Restaurant & Cafe,Rigga,Dubai,N/A,04-2999990,N/A,https://www.yellowpages-uae.com/barbar-neirut-restaurant-cafe-175340.html,
Barca Club,Palm Jumeirah,Dubai,N/A,04-4393548,N/A,https://www.yellowpages-uae.com/barca-club-152058.html,
Bareburger,Festival City,Dubai,N/A,04-3387110,N/A,https://www.yellowpages-uae.com/bareburger-175744.html,
Barouk Restaurant,Yas Island,Abu Dhabi,N/A,02-6563000,N/A,https://www.yellowpages-uae.com/barouk-restaurant-175673.html,
Barracuda Restaurant,"Beach Rd, Jumeirah 3",Dubai,N/A,04-3940408,N/A,https://www.yellowpages-uae.com/barracuda-restaurant-147107.html,
Barzat Tea Time Cafeteria,"Behind Adnoc Main Building, Salam Street",Abu Dhabi,N/A,02-6261415,N/A,https://www.yellowpages-uae.com/barzat-tea-time-cafeteria-175525.html,
Bateaux Dubai,Jumeirah,Dubai,26500,04-3994994,N/A,https://www.yellowpages-uae.com/bateaux-dubai-149388.html,
Bawabat Demashq Restaurant,Al Muraqabat St,Dubai,N/A,600 544745,N/A,https://www.yellowpages-uae.com/bawabat-demashq-restaurant-175333.html,
Bay Leaf (Indian Cuisine),"Bhnd Lulu, Al Barsha",Dubai,38404,04-3235265,N/A,https://www.yellowpages-uae.com/bay-leaf-indian-cuisine--125437.html,
Bay Leaf Indian Coastal Cuisine,"Opp Lamcy Plaza, Oud Metha",Dubai,N/A,04-3583962,N/A,https://www.yellowpages-uae.com/bay-leaf-indian-coastal-cuisine-67654.html,
Bazerkan Lebanese Restaurant,N/A,Dubai,N/A,04-3397750,N/A,https://www.yellowpages-uae.com/bazerkan-lebanese-restaurant-145637.html,
Bazxar,DIFC,Dubai,N/A,04-3551111,N/A,https://www.yellowpages-uae.com/bazxar-175798.html,
BBQ Al Qasr,"Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,N/A,02-6907999,N/A,https://www.yellowpages-uae.com/bbq-al-qasr-175733.html,
BBQ Tonight,Satwa,Dubai,N/A,04-3425272,N/A,https://www.yellowpages-uae.com/bbq-tonight-175745.html,
Beach House Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-4071234,N/A,https://www.yellowpages-uae.com/beach-house-restaurant-175674.html,
Beauty Restaurant,Bidiya Area,Dibba,18128,09-2388563,N/A,https://www.yellowpages-uae.com/beauty-restaurant-21840.html,
Beijing Chinese Restaurant,"Near Al Mamzar Centre, Abu Hail",Dubai,24365,04-3437674,N/A,https://www.yellowpages-uae.com/beijing-chinese-restaurant-175319.html,
Beiutna Restaurant & Cafe,Garhoud,Dubai,6433,04-2947744,N/A,https://www.yellowpages-uae.com/beiutna-restaurant-cafe-162187.html,
Bel Mondo Cafe and Restaurant,Hamdan St,Abu Dhabi,47401,02-6763867,N/A,https://www.yellowpages-uae.com/bel-mondo-cafe-and-restaurant-118412.html,
Beldian Cafe,"Inter Continental, Al Bateen",Abu Dhabi,N/A,02-6666888,N/A,https://www.yellowpages-uae.com/beldian-cafe-175675.html,
Belgian Beer Cafe,Souk Madinat,Dubai,N/A,04-4470227,N/A,https://www.yellowpages-uae.com/belgian-beer-cafe-175799.html,
Bengre Kamat Restaurant LLC,"Near Dolphin Hotel Apartments, Bur Dubai",Dubai,43261,04-3553611,N/A,https://www.yellowpages-uae.com/bengre-kamat-restaurant-llc-172961.html,
Benjarong,"Dusit Thani Dubai, Sh zayed road",Dubai,N/A,04-3080000,N/A,https://www.yellowpages-uae.com/benjarong-67656.html,
Bently Bristo & Bar,"The Galleria, Al Maryah Island",Abu Dhabi,N/A,02-6262131,N/A,https://www.yellowpages-uae.com/bently-bristo-bar-175676.html,
Bentoya Kitchen,Sh Zayed Rd,Dubai,N/A,04-3430222,N/A,https://www.yellowpages-uae.com/bentoya-kitchen-147962.html,
Bertin,"Al Manara, Shk Zayed Road",Dubai,N/A,04-3219239,N/A,https://www.yellowpages-uae.com/bertin-175800.html,
Berts Cafe,The Greens,Dubai,N/A,04-3619292,N/A,https://www.yellowpages-uae.com/berts-cafe-175746.html,
Bhavana Restaurant,Electra St,Abu Dhabi,N/A,02-6334342,N/A,https://www.yellowpages-uae.com/bhavana-restaurant-145576.html,
Biancorosso,"Y Tower, Muroor Road, Al Nahyan",Abu Dhabi,40437,02-6584244,N/A,https://www.yellowpages-uae.com/biancorosso-175609.html,
Big Bite Restaurant,Near Abu Shagara Park,Sharjah,N/A,06-5595643,N/A,https://www.yellowpages-uae.com/big-bite-restaurant-175581.html,
Big Gate Restaurant & Cafeteria,"Nakheel Rd, Deira",Dubai,N/A,04-2212215,N/A,https://www.yellowpages-uae.com/big-gate-restaurant-cafeteria-175217.html,
Big Smoke Burger,Al Wasl Road,Dubai,N/A,04-3436533,N/A,https://www.yellowpages-uae.com/big-smoke-burger-175625.html,
Bilad Al Rafidain Used Car LLC,N/A,Sharjah,2560,06-5424667,N/A,https://www.yellowpages-uae.com/bilad-al-rafidain-used-car-llc-148207.html,
Billionaire Mansion,"Taj Dubai, Business Bay",Dubai,N/A,04-5103100,N/A,https://www.yellowpages-uae.com/billionaire-mansion-175801.html,
Bin Hindi Restaurant,"R/A 8, Near Al Badia Rest, Jebel Ali Free Zone",Jebel Ali,17280,04-8836620,N/A,https://www.yellowpages-uae.com/bin-hindi-restaurant-123544.html,
Biriyani House Restaurant,Ajman-Sharjah Rd,Sharjah,4551,06-7432136,N/A,https://www.yellowpages-uae.com/biriyani-house-restaurant-138537.html,
Biriyani Hut Restaurant LLC,Madinat Zayed,Abu Dhabi,105329,02-6332112,N/A,https://www.yellowpages-uae.com/biriyani-hut-restaurant-llc-145577.html,
Biriyani Pot,Jumeirah,Dubai,N/A,04-3382277,N/A,https://www.yellowpages-uae.com/biriyani-pot-175542.html,
Biryani Centre Restaurant,"Shabiya M 10, Musaffah",Abu Dhabi,N/A,02-5550888,N/A,https://www.yellowpages-uae.com/biryani-centre-restaurant-173173.html,
Biryani Hut Restaurant LLC,"Fathima Bldg, Near Madina Mall, Muhaisnah",Dubai,N/A,04-2344885,N/A,https://www.yellowpages-uae.com/biryani-hut-restaurant-llc-175276.html,
Biryani Times Restaurant,N/A,Dubai,N/A,04-2886658,N/A,https://www.yellowpages-uae.com/biryani-times-restaurant-175257.html,
Bisaya Restaurant,Qusais,Dubai,N/A,04-3709588,N/A,https://www.yellowpages-uae.com/bisaya-restaurant-175271.html,
Bistro Des Arts,Dubai Marina,Dubai,N/A,04-5511576,N/A,https://www.yellowpages-uae.com/bistro-des-arts-175802.html,
BiteRite,Muroor Rd,Abu Dhabi,37005,02-6411660,N/A,https://www.yellowpages-uae.com/biterite-105444.html,
Black Pearl (Al Raha Beach Hotel),N/A,Abu Dhabi,N/A,02-5080555,N/A,https://www.yellowpages-uae.com/black-pearl-al-raha-beach-hotel--150704.html,
Black Tap,Madinat Jumeirah,Dubai,N/A,04-4229904,N/A,https://www.yellowpages-uae.com/black-tap-175804.html,
Blue City Restaurant,"Near Al Tayer Motors, Garhoud",Dubai,7135,04-2824800,N/A,https://www.yellowpages-uae.com/blue-city-restaurant-130115.html,
Blue Dana Restaurant,Al Wahda St,Sharjah,22196,06-5531680,N/A,https://www.yellowpages-uae.com/blue-dana-restaurant-133753.html,
Blue Jade,"The Ritz Carlton, JBR",Dubai,N/A,04-3186150,N/A,https://www.yellowpages-uae.com/blue-jade-175805.html,
Blue Marlin Ibiza UAE,"Golden Tulip Beach Resort, Ghantoot",Abu Dhabi,N/A,056-1133400,N/A,https://www.yellowpages-uae.com/blue-marlin-ibiza-uae-175677.html,
Blue Sea Refreshments,Near National Cinema,Abu Dhabi,N/A,02-6780085,N/A,https://www.yellowpages-uae.com/blue-sea-refreshments-175531.html,
Boa Steakhouse,Al Markaziyah,Abu Dhabi,N/A,02-6411500,N/A,https://www.yellowpages-uae.com/boa-steakhouse-175734.html,
Bob's Fish & Chips,Dubai Marina,Dubai,66413,04-4504262,N/A,https://www.yellowpages-uae.com/bob-s-fish-chips-146805.html,
Bobs Easy Dinner,The Walk,Dubai,N/A,800 2627,N/A,https://www.yellowpages-uae.com/bobs-easy-dinner-175561.html,
Boca Cafe,DIFC,Dubai,N/A,04-3231833,N/A,https://www.yellowpages-uae.com/boca-cafe-175747.html,
Bocadillo,N/A,Abu Dhabi,N/A,02-6456020,N/A,https://www.yellowpages-uae.com/bocadillo-145503.html,
Bombay Spice Garden,"Near Choithram, Abu Shagarah",Sharjah,N/A,06-5533827,N/A,https://www.yellowpages-uae.com/bombay-spice-garden-148306.html,
Bombay Sweets & Bakery LLC,"Amman St, Al Nahda",Dubai,234872,04-2398901,N/A,https://www.yellowpages-uae.com/bombay-sweets-bakery-llc-68527.html,
Bon Appetit,Sh zayed road,Dubai,N/A,04-3438311,N/A,https://www.yellowpages-uae.com/bon-appetit-68467.html,
Bon Food LLC,Madinat Zayed Shopping Complex,Abu Dhabi,27425,02-6339497,N/A,https://www.yellowpages-uae.com/bon-food-llc-107877.html,
Bonfood Restaurant,"Grand Shopping Mall, Al Quoz",Dubai,72253,04-3380807,N/A,https://www.yellowpages-uae.com/bonfood-restaurant-150961.html,
Bonna Annee,Salam Street,Abu Dhabi,N/A,02-4912128,N/A,https://www.yellowpages-uae.com/bonna-annee-175651.html,
Bonsai Japanese Restaurant,Sh Tahnoon Rd,Abu Dhabi,42776,02-4434807,N/A,https://www.yellowpages-uae.com/bonsai-japanese-restaurant-125513.html,
Bord Eau,"Shangri La, Al Maqta",Abu Dhabi,N/A,02-5098888,N/A,https://www.yellowpages-uae.com/bord-eau-175735.html,
Bottega,"Sofitel Dubai, The Palm",Dubai,N/A,04-4556677,N/A,https://www.yellowpages-uae.com/bottega-175635.html,
Bounty Bar,Liwa,Abu Dhabi,N/A,02-5629100,N/A,https://www.yellowpages-uae.com/bounty-bar-148064.html,
Bowling City,"4th Floor, Al Mariah Cinema Complex, Hamdan St",Abu Dhabi,52203,02-6760444,N/A,https://www.yellowpages-uae.com/bowling-city-58040.html,
Brasserie Angelique,Jumeirah At Etihad Towers,Abu Dhabi,N/A,02-8115666,N/A,https://www.yellowpages-uae.com/brasserie-angelique-175678.html,
Brasserie Quartier,"Habtoor City, Shk Zayed Road",Dubai,N/A,04-4355577,N/A,https://www.yellowpages-uae.com/brasserie-quartier-175806.html,
Brauhaus,"Beach Rotana, Al Zahiyah",Abu Dhabi,N/A,02-6979011,N/A,https://www.yellowpages-uae.com/brauhaus-175679.html,
Bread Street Kitchen,"Atlantis, The Palm",Dubai,N/A,04-4262626,N/A,https://www.yellowpages-uae.com/bread-street-kitchen-175807.html,
Breakfast To Breakfast,"Al Riqqa St, Deira",Dubai,14831,04-2223011,N/A,https://www.yellowpages-uae.com/breakfast-to-breakfast-108224.html,
Brick Lane,Al Barsha 1,Dubai,N/A,04-3996786,N/A,https://www.yellowpages-uae.com/brick-lane-146562.html,
Bright Moon Restaurant,"Opp Al Rolla Pharmacy, Rolla Rd, Bur Dubai",Dubai,N/A,04-3939105,N/A,https://www.yellowpages-uae.com/bright-moon-restaurant-175223.html,
Broccoli Pizza & Pasta,Tecom,Dubai,N/A,04-4390305,N/A,https://www.yellowpages-uae.com/broccoli-pizza-pasta-148175.html,
Brummanah Restaurant,Garhoud,Dubai,60939,04-2501550,N/A,https://www.yellowpages-uae.com/brummanah-restaurant-145451.html,
Brunei Restaurant,"Bhnd Post Office, Satwa",Dubai,34541,04-3420203,N/A,https://www.yellowpages-uae.com/brunei-restaurant-129428.html,
